"Identifier","Code","Name_En","Name_Fr","Name_Es","Name_Ar"
"101","01","Surrounding nets","Filet tournants","Redes de cerco","شباك  التحويط"
"102","02","Seine nets","Sennes","Redes de tiro","الشباك الكيسية"
"103","03","Trawls","Chaluts","Redes de arrastre","شباك الجر"
"104","04","Dredges","Dragues","Rastras","جرافات صيد المحاريات"
"105","05","Lift nets","Filets souleves","Redes izadas","الشباك المرفوعة"
"106","06","Falling gear","Engins retombants","Redes de caida","الشباك الاسقاط"
"107","07","Gillnets and entangling nets","Filet maillant et filet emmelants","Redes de enmalle y de enredo","الشباك الخيشومية وشباك التشابك"
"108","08","Traps","Pieges","Trampas","الفخاخ"
"109","09","Hooks and lines","Lignes et hamecons","Sedal y anzuelo","الصنانير والخيوط"
"113","10","Miscellaneous Gears","Engins de pêche par accrochage ou pour blessure","Artefactos de herir y aferrar","معدات صيد أخرى"
"244","99","Gear not known","Engins inconnus ou non specifiés","Artes desconocidos o no especificados","معدات صيد غير معرفة"
